Year,Rank,Team,Seed,Conf,W-L,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SoS AdjEM,SoS AdjEM Rank,SoS OppO,SoS OppO Rank,SoS OppD,SoS OppD Rank,NCSoS AdjEM,NCSoS AdjEM Rank
2018,1,Virginia,1,ACC,31-2,32.15,116.5,21,84.4,1,59.2,351,0.032,98,9.99,25,110.9,29,100.9,26,0.22,160
2018,2,Villanova,1,BE,30-4,31.41,127.4,1,96,22,68.3,168,-0.018,222,10.23,20,111.3,19,101.1,30,4.11,64
2018,3,Duke,2,ACC,26-7,29.13,122.6,3,93.5,7,70,78,-0.029,260,10.9,13,111,26,100.1,10,4.61,51
2018,4,Cincinnati,2,Amer,30-4,27,113.2,54,86.2,2,64.7,322,-0.004,183,3.18,89,107,97,103.8,91,-4.14,295
2018,5,Purdue,2,B10,28-6,26.67,123.2,2,96.6,28,67.2,219,0.003,167,8.55,44,109.3,54,100.8,22,0.91,145
2018,6,Michigan St.,3,B10,29-4,26.35,120,9,93.6,9,67.1,222,0.048,64,6.5,64,109,62,102.5,67,-4.7,303
2018,7,North Carolina,2,ACC,25-10,25.03,122,4,96.9,34,71,50,-0.019,227,14.05,1,112.5,1,98.4,1,7.99,15
2018,8,Gonzaga,4,WCC,30-4,24.74,119.8,12,95.1,17,69,125,-0.006,191,0.95,127,106.6,107,105.6,154,3.24,82
2018,9,Kansas,1,B12,27-7,23.24,120.9,6,97.7,46,68.4,161,0.06,50,11.49,6,111.7,12,100.2,11,3.71,76
2018,10,Michigan,3,B10,28-7,23.19,115.9,29,92.7,5,64.4,333,0.037,90,8.78,41,111.1,22,102.3,63,-4.6,300
2018,11,Tennessee,3,SEC,25-8,22.15,114.8,40,92.7,4,66.2,271,0.04,81,11.62,4,112.2,2,100.5,15,7.56,18
2018,12,Texas Tech,3,B12,24-9,21.94,114,46,92.1,3,66.6,248,-0.021,236,9.26,37,110.4,38,101.1,34,-5.12,312
2018,13,West Virginia,5,B12,24-10,21.77,119.2,14,97.4,39,69,117,-0.009,197,10.48,18,109.9,43,99.5,2,-4.24,297
2018,14,Xavier,1,BE,28-5,21.69,120.7,7,99,59,70.4,61,0.109,9,9.62,31,110.3,39,100.7,18,2.09,107
2018,15,Ohio St.,5,B10,24-8,21.11,116.2,27,95,16,66.4,260,0.027,107,8.16,51,109.8,47,101.6,48,0.41,153
2018,16,Auburn,4,SEC,25-7,20.63,118.2,16,97.6,44,72.3,21,-0.012,204,7.53,56,109.1,61,101.5,46,-1.75,215
2018,17,Houston,6,Amer,26-7,20.54,115.8,31,95.2,18,68.2,174,-0.009,200,3.39,86,106.7,103,103.3,80,-2.71,251
2018,18,Kentucky,5,SEC,24-10,20.41,116.4,25,96,23,68.6,154,-0.001,177,11.17,9,111.1,21,99.9,4,5.05,43
2018,19,Clemson,5,ACC,23-9,20.27,113.8,48,93.5,8,65.6,297,0.004,163,9.76,30,110.9,28,101.1,36,-1.85,217
2018,20,Wichita St.,4,Amer,25-7,20.07,121.9,5,101.9,107,68.6,149,-0.015,215,5.55,74,107.9,78,102.3,64,2.05,108
2018,21,Arizona,4,P12,27-7,19.37,119,15,99.6,70,67.3,215,0.025,116,6.33,66,108.9,65,102.6,69,2.82,86
2018,22,TCU,6,B12,21-11,18.92,120.6,8,101.7,104,68.7,142,-0.058,311,9.82,27,111.5,15,101.6,50,-0.43,178
2018,23,Florida,6,SEC,20-12,18.71,115.1,37,96.4,25,66.8,239,-0.049,294,10.74,14,110.7,32,100,7,4.49,54
2018,24,Nevada,7,MWC,27-7,18.18,119.9,10,101.7,105,69.5,99,-0.028,259,4.45,79,107.3,90,102.9,72,4.2,61
2018,25,Butler,10,BE,20-13,17.87,115.8,32,97.9,48,67.8,189,-0.037,271,10.58,17,111.9,7,101.3,42,0.27,157
2018,26,Seton Hall,8,BE,21-11,17.34,116.3,26,99,58,69.3,104,-0.02,234,9.58,34,110.4,36,100.9,24,0.42,152
2018,27,Creighton,8,BE,21-11,17.28,116.5,22,99.2,61,70.8,53,-0.018,226,9.23,38,111.1,20,101.9,55,-3.82,291
2018,30,Texas A&M;,7,SEC,20-12,16.91,111.2,71,94.3,12,69,120,-0.007,194,11.34,7,112.1,3,100.8,21,5.29,38
2018,32,Virginia Tech,8,ACC,21-11,16.64,115,39,98.4,54,68.7,144,-0.003,180,8.18,49,109.9,44,101.7,52,-9.57,344
2018,35,Florida St.,9,ACC,20-11,15.82,115.8,30,100,76,71.6,31,-0.032,265,7.99,54,109.2,59,101.2,38,-6.72,331
2018,36,Miami FL,6,ACC,22-9,15.71,113.3,52,97.6,45,67.1,225,0.034,95,8.17,50,109.6,50,101.4,44,-3.58,283
2018,37,Arkansas,7,SEC,23-11,15.63,117.3,19,101.7,103,69.7,90,0.062,41,10.15,22,111,25,100.9,25,1.3,135
2018,38,Missouri,8,SEC,20-12,15.47,113.3,53,97.8,47,65.6,298,-0.021,237,9.6,32,110.1,42,100.5,13,1.3,136
2018,39,Texas,10,B12,19-14,15.46,109.4,94,93.9,10,65.2,315,-0.018,223,11.77,3,111.7,11,99.9,5,2.19,105
2018,41,Loyola Chicago,11,MVC,28-5,15.14,111.3,68,96.2,24,65.3,312,0.058,53,0.07,140,103.8,224,103.7,89,-5.63,316
2018,42,North Carolina St.,9,ACC,21-11,15.13,116.4,24,101.3,99,71.4,40,0.007,156,7.64,55,108.9,63,101.3,41,-9.44,343
2018,43,Davidson,12,A10,21-11,14.91,117.4,18,102.5,115,64.2,335,-0.051,297,1.88,107,105.9,130,104,96,1.71,118
2018,44,Kansas St.,9,B12,22-11,14.75,112.2,60,97.4,41,65.5,302,0.056,56,9.2,39,111.4,17,102.2,60,-6.03,321
2018,45,Arizona St.,11,P12,20-11,14.71,117.7,17,102.9,124,71.6,36,-0.072,332,5.8,72,108.1,75,102.3,62,1.53,125
2018,47,Oklahoma,10,B12,18-13,14.42,115.1,38,100.7,83,75.8,4,0.005,160,11.96,2,111.9,8,99.9,3,2.24,103
2018,48,UCLA,11,P12,21-11,14.38,116.4,23,102.1,110,70.5,57,-0.019,228,6.91,60,108.7,66,101.8,54,3.56,79
2018,49,Rhode Island,7,A10,25-7,14.38,111.7,66,97.3,38,68.7,146,0.037,87,2.69,96,107.4,86,104.7,119,4.06,67
2018,50,San Diego St.,11,MWC,22-10,14.15,111.3,69,97.1,36,68.7,147,-0.015,217,3.37,87,107.5,85,104.2,101,-0.17,170
2018,51,Alabama,9,SEC,19-15,13.83,108.5,115,94.6,13,68.8,137,0,173,11.03,10,111,24,100,8,3.02,85
2018,54,Syracuse,11,ACC,20-13,13.59,107.7,128,94.1,11,63.4,342,0.007,157,8.72,43,111,27,102.2,61,-0.23,172
2018,55,New Mexico St.,12,WAC,28-5,13.56,108.5,116,94.9,14,68.2,173,0.032,97,-1.51,176,104.2,199,105.8,162,4.19,62
2018,59,Murray St.,12,OVC,26-5,12.7,113.1,56,100.4,82,67.3,216,-0.013,208,-4.19,261,102.8,275,107,237,-0.76,183
2018,63,Providence,10,BE,21-13,11.92,108.9,104,97,35,67.1,223,0.088,20,10.42,19,112,5,101.6,49,-1.02,187
2018,69,St. Bonaventure,11,A10,25-7,11.2,112.3,59,101.1,94,69.2,109,0.077,25,2.2,101,107,98,104.8,121,1.43,128
2018,71,Montana,14,BSky,26-7,10.83,110.1,82,99.3,65,68,183,-0.005,185,-2.18,204,104.3,196,106.5,206,2.52,91
2018,75,South Dakota St.,12,Sum,28-6,10.59,114.6,41,104,148,70.3,71,0.111,7,-0.1,141,106.1,118,106.2,189,3.91,72
2018,77,Buffalo,13,MAC,26-8,10.49,114.3,42,103.8,138,72.8,15,-0.005,188,-1.02,165,104.8,174,105.8,167,4.08,66
2018,82,UNC Greensboro,13,SC,27-7,9.06,105.7,164,96.6,30,65,318,-0.011,203,-4.99,282,103.6,231,108.6,319,-3.23,273
